Stage,Section,Element,Type,Parameter,Value,Unit,Comment
0,Facility,Global,Name,Name,Decay chain,,
0,Facility,Global,Reference particle,Kinetic energy,6000,MeV,
0,Facility,Global,Reference particle,Kinetic energy 1,5000,MeV,
0,Facility,Global,Reference particle,Species,pion,,
0,Facility,Global,Reference particle,Species 1,muon,,
0,Facility,Global,Vacuum chamber,Mother volume radius,0.5,m,
1,Source,Source,Uniform disc,SourceMode,4,,Uniform disc
1,Source,Source,Uniform disc,MeanEnergy,6000,MeV,
1,Source,Source,Uniform disc,SigmaEnergy,600,MeV,
1,Source,Source,Uniform disc,Radius,0.001,m,
2,Decay,Drift,,Length,1,m,1
2,Decay,Drift,,Length,1,m,2
2,Decay,Drift,,Length,1,m,3
2,Decay,Drift,,Length,1,m,4
2,Decay,Drift,,Length,1,m,5
2,Decay,Drift,,Length,1,m,6
2,Decay,Drift,,Length,1,m,7
2,Decay,Drift,,Length,1,m,8
2,Decay,Drift,,Length,1,m,9
2,Decay,Drift,,Length,1,m,10
2,Decay,Drift,,Length,1,m,11
2,Decay,Drift,,Length,1,m,12
2,Decay,Drift,,Length,1,m,13
2,Decay,Drift,,Length,1,m,14
2,Decay,Drift,,Length,1,m,15
2,Decay,Drift,,Length,1,m,16
2,Decay,Drift,,Length,1,m,17
2,Decay,Drift,,Length,1,m,18
2,Decay,Drift,,Length,1,m,19
2,Decay,Drift,,Length,1,m,20
2,Decay,Drift,,Length,1,m,21
2,Decay,Drift,,Length,1,m,22
2,Decay,Drift,,Length,1,m,23
2,Decay,Drift,,Length,1,m,24
2,Decay,Drift,,Length,1,m,25
2,Decay,Drift,,Length,1,m,26
2,Decay,Drift,,Length,1,m,27
2,Decay,Drift,,Length,1,m,28
2,Decay,Drift,,Length,1,m,29
2,Decay,Drift,,Length,1,m,30
2,Decay,Drift,,Length,1,m,31
2,Decay,Drift,,Length,1,m,32
2,Decay,Drift,,Length,1,m,33
2,Decay,Drift,,Length,1,m,34
2,Decay,Drift,,Length,1,m,35
2,Decay,Drift,,Length,1,m,36
2,Decay,Drift,,Length,1,m,37
2,Decay,Drift,,Length,1,m,38
2,Decay,Drift,,Length,1,m,39
2,Decay,Drift,,Length,1,m,40
2,Decay,Drift,,Length,1,m,41
2,Decay,Drift,,Length,1,m,42
2,Decay,Drift,,Length,1,m,43
2,Decay,Drift,,Length,1,m,44
2,Decay,Drift,,Length,1,m,45
2,Decay,Drift,,Length,1,m,46
2,Decay,Drift,,Length,1,m,47
2,Decay,Drift,,Length,1,m,48
2,Decay,Drift,,Length,1,m,49
2,Decay,Drift,,Length,1,m,50
2,Decay,Drift,,Length,1,m,51
2,Decay,Drift,,Length,1,m,52
2,Decay,Drift,,Length,1,m,53
2,Decay,Drift,,Length,1,m,54
2,Decay,Drift,,Length,1,m,55
2,Decay,Drift,,Length,1,m,56
2,Decay,Drift,,Length,1,m,57
2,Decay,Drift,,Length,1,m,58
2,Decay,Drift,,Length,1,m,59
2,Decay,Drift,,Length,1,m,60
2,Decay,Drift,,Length,1,m,61
2,Decay,Drift,,Length,1,m,62
2,Decay,Drift,,Length,1,m,63
2,Decay,Drift,,Length,1,m,64
2,Decay,Drift,,Length,1,m,65
2,Decay,Drift,,Length,1,m,66
2,Decay,Drift,,Length,1,m,67
2,Decay,Drift,,Length,1,m,68
2,Decay,Drift,,Length,1,m,69
2,Decay,Drift,,Length,1,m,70
2,Decay,Drift,,Length,1,m,71
2,Decay,Drift,,Length,1,m,72
2,Decay,Drift,,Length,1,m,73
2,Decay,Drift,,Length,1,m,74
2,Decay,Drift,,Length,1,m,75
2,Decay,Drift,,Length,1,m,76
2,Decay,Drift,,Length,1,m,77
2,Decay,Drift,,Length,1,m,78
2,Decay,Drift,,Length,1,m,79
2,Decay,Drift,,Length,1,m,80
2,Decay,Drift,,Length,1,m,81
2,Decay,Drift,,Length,1,m,82
2,Decay,Drift,,Length,1,m,83
2,Decay,Drift,,Length,1,m,84
2,Decay,Drift,,Length,1,m,85
2,Decay,Drift,,Length,1,m,86
2,Decay,Drift,,Length,1,m,87
2,Decay,Drift,,Length,1,m,88
2,Decay,Drift,,Length,1,m,89
2,Decay,Drift,,Length,1,m,90
2,Decay,Drift,,Length,1,m,91
2,Decay,Drift,,Length,1,m,92
2,Decay,Drift,,Length,1,m,93
2,Decay,Drift,,Length,1,m,94
2,Decay,Drift,,Length,1,m,95
2,Decay,Drift,,Length,1,m,96
2,Decay,Drift,,Length,1,m,97
2,Decay,Drift,,Length,1,m,98
2,Decay,Drift,,Length,1,m,99
2,Decay,Drift,,Length,1,m,100
