Stage,Section,Element,Type,Parameter,Value,Unit,Comment
0,Facility,Global,Name,Name,LhARA,,
0,Facility,Global,Reference particle,Kinetic energy,15,MeV,
0,Facility,Global,Vacuum chamber,Mother volume radius,0.5,m,
1,Source,Source,ReadFromFile,SourceMode,3,,Read particles from file
2,Focus,Drift,,Length,0.05,m,
2,Focus,Fquad,,Length,0.1,m,
2,Focus,Fquad,,kq,30.256,m-2,
2,Focus,Drift,,Length,0.1,m,
2,Focus,Dquad,,Length,0.1,m,
2,Focus,Dquad,,kq,53.393,m-2,
2,Focus,Drift,,Length,0.1,m,
2,Focus,Fquad,,Length,0.1,m,
2,Focus,Fquad,,kq,30.256,m-2,
3,Form parallel,Drift,,Length,0.22,m,
3,Form parallel,Fquad,,Length,0.04,m,
3,Form parallel,Fquad,,kq,302.5629532,m-2,
3,Form parallel,Drift,,Length,0.02,m,
3,Form parallel,Dquad,,Length,0.04,m,
3,Form parallel,Dquad,,kq,551.7324441,m-2,
3,Form parallel,Drift,,Length,0.02,m,
3,Form parallel,Fquad,,Length,0.04,m,
3,Form parallel,Fquad,,kq,302.5629532,m-2,
4,Final drift,Drift,,Length,1.07,m,
