Stage,Section,Element,Type,Parameter,Value,Unit,Comment
0,Facility,Global,Name,Name,LhARA,,
0,Facility,Global,Reference particle,Kinetic energy,15,MeV,
0,Facility,Global,Vacuum chamber,Mother volume radius,0.035,m,
1,Source,Source,ReadFromFile,SourceMode,3,,Read particles from file
1,Final focus,Drift,,Length,0.4,m,
1,Final focus,Dquad,,Length,0.114,m,
1,Final focus,Dquad,,kq,22.502,m-2,
1,Final focus,Drift,,Length,0.1,m,
1,Final focus,Fquad,,Length,0.114,m,
1,Final focus,Fquad,,kq,20.708,m-2,
1,Final focus,Drift,,Length,0.2,m,
1,Final focus,Drift,,Length,1.072,m,
